contacto;periodo;categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;domicilio_esquina_proxima;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;domicilio_calle
00163831/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;07-04-21;12:11:14;15.0;Villa Crespo;FIGUEROA, D. APOLINARIO, CORONEL;602.0;;-34.60615328;-58.44835389;App BA 147;Masculino;Abierto;;
00166053/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;08-04-21;11:47:00;4.0;Boca;NECOCHEA;145.0;;-34.62667767;-58.36674342;App BA 147;Femenino;Cerrado;08-04-2021 16:14:07;
00166572/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;08-04-21;15:03:50;11.0;Villa Gral. Mitre;INGENIEROS, JOSE;2613.0;;-34.60897041;-58.47821983;GCS Web;Femenino;Abierto;;
00168281/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;09-04-21;14:37:22;13.0;Nuñez;PICO;1501.0;;-34.53626845;-58.46559365;App BA 147;Femenino;Abierto;;
00172530/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;12-04-21;18:09:38;11.0;Villa Devoto;SOLANO LOPEZ, F., MARISCAL;3319.0;;-34.59693057;-58.50122447;App BA 147;Masculino;Abierto;;
00172130/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;12-04-21;14:52:19;12.0;Saavedra;DONADO;3654.0;;-34.55796666;-58.48672619;App BA 147;Masculino;Abierto;;
00172199/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;12-04-21;15:26:21;13.0;Nuñez;PEDRAZA, MANUELA;2010.0;;-34.54951728;-58.46258154;GCS Web;Femenino;Abierto;;
00169050/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;10-04-21;09:11:08;13.0;Colegiales;MOLDES;;ZABALA;-34.57064485;-58.45119603;GCS Web;Masculino;Abierto;;
00169358/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;10-04-21;13:59:35;14.0;Palermo;SCALABRINI ORTIZ, RAUL AV.;2458.0;;-34.58557813;-58.41682049;GCS Web;Femenino;Abierto;;
00169657/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;10-04-21;18:47:23;11.0;Villa Santa Rita;CAMPANA;1375.0;;-34.61837778;-58.48301263;GCS Web;Masculino;Abierto;;
00172808/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;12-04-21;20:30:38;9.0;Parque Avellaneda;BRAGADO;4700.0;;-34.64400693;-58.49141465;GCS Web;Masculino;Cerrado;16-04-2021 9:38:23;
00171781/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;12-04-21;12:22:38;10.0;Villa Luro;ARAUJO;56.0;;-34.63921049;-58.50715358;GCS Web;Femenino;Abierto;;
00173346/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;13-04-21;09:31:27;13.0;Belgrano;3 DE FEBRERO;2350.0;;-34.55696525;-58.45409735;App BA 147;Femenino;Cerrado;16-04-2021 9:36:55;
00174427/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;13-04-21;22:00:58;12.0;Villa Pueyrredon;ARGERICH;;HABANA;-34.59006014;-58.50078508;App BA 147;Femenino;Cerrado;16-04-2021 10:59:49;
00173964/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;13-04-21;15:15:01;13.0;Belgrano;3 DE FEBRERO;2423.0;;-34.55618193;-58.45471636;App BA 147;Masculino;Cerrado;16-04-2021 9:32:34;
00173367/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;13-04-21;09:43:25;8.0;Villa Soldati;ESCALADA AV.;3000.0;;-34.66719876;-58.46687131;App BA 147;Femenino;Abierto;;
00173673/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;13-04-21;12:38:25;4.0;Barracas;PINZON;;RUY DIAZ DE GUZMAN;-34.63663277;-58.37079385;App BA 147;Masculino;Abierto;;
00174755/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;14-04-21;10:53:39;7.0;Parque Chacabuco;DE LAS CIENCIAS;952.0;;-34.63199656;-58.44064355;GCS Web;Femenino;Abierto;;
00176682/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;15-04-21;18:25:13;15.0;Chacarita;PEREZ, GREGORIA;3668.0;;-34.58063934;-58.45680469;App BA 147;Masculino;Abierto;;
00180545/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;18-04-21;17:21:34;12.0;Villa Pueyrredon;CONDARCO;4955.0;;-34.58271537;-58.50183146;GCS Web;Masculino;Abierto;;
00180427/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;18-04-21;15:49:16;4.0;Boca;LIBERTI, TOMAS;1072.0;;-34.63162575;-58.36870359;App BA 147;Masculino;Abierto;;
00180023/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;18-04-21;10:25:14;4.0;Boca;LIBERTI, TOMAS;1080.0;;-34.63163507;-58.36880525;App BA 147;Masculino;Abierto;;
00184702/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;20-04-21;18:30:12;12.0;Coghlan;ESTOMBA;2649.0;;-34.56531222;-58.47585536;App BA 147;Femenino;Abierto;;
00181913/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;19-04-21;13:31:00;5.0;Almagro;ACUÑA DE FIGUEROA, FRANCISCO;138.0;;-34.60940709;-58.42295445;App BA 147;Femenino;Abierto;;
00181542/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;19-04-21;11:15:28;5.0;Almagro;CORDOBA AV.;3690.0;;-34.5978796;-58.41869595;GCS Web;Masculino;Abierto;;
00183018/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;19-04-21;22:37:00;8.0;Villa Lugano;POLA;4353.0;;-34.67770251;-58.46498738;App BA 147;Femenino;Abierto;;
00186165/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;21-04-21;14:07:50;7.0;Flores;CONDARCO;588.0;;-34.62454983;-58.46934568;Mail 147;Masculino;Abierto;;
00186552/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;21-04-21;16:27:01;14.0;Palermo;VIDT;1942.0;;-34.58940613;-58.41430828;App BA 147;Masculino;Abierto;;
00185869/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;21-04-21;11:59:38;3.0;Balvanera;BELGRANO AV.;2640.0;;-34.61463817;-58.40345306;GCS Web;Masculino;Abierto;;
00189473/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;23-04-21;20:02:53;5.0;Boedo;MARMOL, JOSE;;ESTADOS UNIDOS;-34.62330349;-58.42486119;GCS Web;Masculino;Abierto;;
00188891/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;23-04-21;12:49:06;5.0;Almagro;YRIGOYEN, HIPOLITO AV.;3637.0;;-34.61392884;-58.41766233;App BA 147;Femenino;Abierto;;
00190813/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;24-04-21;17:15:40;14.0;Palermo;SANTA FE AV.;3951.0;;-34.58373372;-58.41788441;GCS Web;Femenino;Abierto;;
00190675/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;24-04-21;16:01:07;8.0;Villa Lugano;DELLEPIANE, LUIS, TTE. GRAL.;4250.0;;-34.66047969;-58.47082494;App BA 147;Femenino;Abierto;;
00191580/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;25-04-21;13:58:43;15.0;Villa Crespo;JUSTO, JUAN B. AV.;2651.0;;-34.59518694;-58.44512046;GCS Web;Femenino;Abierto;;
00194159/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;26-04-21;18:39:26;5.0;Almagro;INDEPENDENCIA AV.;4101.0;;-34.6214648;-58.42417196;GCS Web;Masculino;Abierto;;
00193687/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;26-04-21;15:31:15;5.0;Boedo;RONDEAU;3601.0;;-34.63711803;-58.41640031;App BA 147;Femenino;Abierto;;
00196111/21;202104;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;28-04-21;13:14:27;14.0;Palermo;BULNES;1677.0;;-34.59210392;-58.41539997;Comuna;Masculino;Abierto;;
00218695/21;202105;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;INFORMACIÓN SOBRE ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;SOLICITUD;16-05-21;3:47:55 AM;10.0;Floresta;CHIVILCOY;26.0;;-34.63346777;-58.4819012;App BA 147;Femenino;Abierto;;
00236875/21;202105;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;INFORMACIÓN SOBRE ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;SOLICITUD;28-05-21;6:47:06 PM;9.0;Mataderos;CORVALAN;900.0;;-34.6467139;-58.49953779;GCS Web;Femenino;Abierto;;
00000807/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;02/01/2021;12:28:24;12.0;Villa Urquiza;BARZANA;2175.0;;-34.5784968543815;-58.4883092274693;App BA 147;Femenino;Cerrado;15/01/2021 12:16:25;
00000969/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;02/01/2021;14:39:11;12.0;Villa Urquiza;PIRAN;5700.0;;-34.5673633736929;-58.4984860486148;GCS Web;Femenino;Cerrado;15/01/2021 10:25:14;
00001662/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;03/01/2021;11:58:58;10.0;Monte Castro;PAZ, MARCOS;2146.0;;-34.6192561598247;-58.5032685075284;App BA 147;Masculino;Abierto;;
00001006/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;02/01/2021;15:03:54;12.0;Villa Urquiza;PIRAN;5702.0;;-34.5675157622133;-58.4987589501805;GCS Web;Masculino;Cerrado;15/01/2021 10:33:27;
00001915/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;03/01/2021;16:53:19;10.0;Velez Sarsfield;DIAZ, CESAR, GRAL.;5055.0;;-34.6286324194733;-58.4989243598751;App BA 147;Femenino;Abierto;;
00002353/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;04/01/2021;02:59:42;9.0;Liniers;SUAREZ, JOSE LEON;210.0;;-34.6418288466652;-58.5274550623936;App BA 147;Masculino;Abierto;;
00003022/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;04/01/2021;12:58:27;1.0;San Telmo;CALVO, CARLOS;311.0;;-34.6193719663393;-58.3703054663304;App BA 147;Femenino;Abierto;;
00003909/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;04/01/2021;19:19:44;4.0;Barracas;REGIMIENTO DE PATRICIOS AV.;1467.0;;-34.6435145208589;-58.3688217333849;Call Center;Femenino;Abierto;;
00004160/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;04/01/2021;22:30:12;11.0;Villa Devoto;NAVARRO;4665.0;;-34.6078778673751;-58.5171001221941;App BA 147;Masculino;Abierto;;
00002887/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;04/01/2021;12:13:12;10.0;Monte Castro;LASCANO;3926.0;;-34.6134565745437;-58.4967912685762;GCS Web;Masculino;Abierto;;
00003534/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;04/01/2021;16:22:15;12.0;Saavedra;MILLER;3547.0;;-34.5611181269951;-58.4894659919528;App BA 147;Masculino;Cerrado;14/01/2021 14:15:29;
00006005/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;05/01/2021;21:54:48;10.0;Floresta;MAR DEL PLATA;1007.0;;-34.6245571431498;-58.4875621216354;GCS Web;Masculino;Abierto;;
00005049/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;05/01/2021;13:26:15;10.0;Velez Sarsfield;ESCALADA DE SAN MARTIN, R.;4847.0;;-34.6289600673632;-58.498326649757;GCS Web;Masculino;Abierto;;
00004476/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;05/01/2021;09:30:29;11.0;Villa Gral. Mitre;CAMARONES;1897.0;;-34.6060163637552;-58.4679720714224;GCS Web;Masculino;Cerrado;10/02/2021 16:18:32;
00004277/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;05/01/2021;02:06:54;15.0;Parque Chas;AVALOS;1240.0;;-34.5858879458402;-58.4765228486205;GCS Web;Femenino;Abierto;;
00004429/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;05/01/2021;09:09:23;13.0;Colegiales;CRAMER;233.0;;-34.5765329324047;-58.4422148593197;GCS Web;Femenino;Abierto;;
00004954/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;05/01/2021;12:41:47;10.0;Villa Real;VIDAL EMERIC E.;1580.0;;-34.6201859107473;-58.5298520991003;GCS Web;Femenino;Abierto;;
00004336/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;05/01/2021;08:05:24;12.0;Coghlan;TRONADOR;3430.0;;-34.5594400589593;-58.4817415169988;App BA 147;Femenino;Cerrado;15/01/2021 10:11:17;
00004676/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;05/01/2021;10:59:23;10.0;Versalles;ECHENAGUCIA;1126.0;;-34.6296763816278;-58.517834061348;GCS Web;Femenino;Abierto;;
00007707/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;06/01/2021;21:16:50;1.0;Constitucion;ESTADOS UNIDOS;1560.0;;-34.6188768901803;-58.3883182696421;GCS Web;Masculino;Abierto;;
00007408/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;06/01/2021;17:37:10;13.0;Nuñez;VUELTA DE OBLIGADO;3952.0;;-34.5457999610632;-58.4690298313319;GCS Web;Femenino;Abierto;;
00006969/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;06/01/2021;14:28:04;12.0;Villa Pueyrredon;TERRADA;5840.0;;-34.5765619447867;-58.5092818717536;GCS Web;Femenino;Cerrado;22/01/2021 13:25:29;
00006379/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;06/01/2021;10:19:33;14.0;Palermo;CORDOBA AV.;5943.0;;-34.584998035542;-58.4439212683598;App BA 147;Femenino;Abierto;;
00006634/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;06/01/2021;12:08:54;15.0;Villa Crespo;ACEVEDO;528.0;;-34.5970223004318;-58.4390908514044;App BA 147;Masculino;Abierto;;
00007673/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;06/01/2021;20:41:37;13.0;Belgrano;JURAMENTO;3445.0;;-34.5681560277083;-58.4671016212099;GCS Web;Femenino;Abierto;;
00006794/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;06/01/2021;13:07:55;14.0;Palermo;GORRITI;6014.0;;-34.5816359960911;-58.4416673109288;GCS Web;Masculino;Abierto;;
00006542/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;06/01/2021;11:36:29;12.0;Villa Urquiza;CAPDEVILA;3219.0;;-34.5674944672262;-58.4920031303001;App BA 147;Femenino;Cerrado;15/01/2021 10:15:19;
00009368/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;07/01/2021;20:53:11;3.0;Balvanera;MEXICO;2564.0;;-34.6167161405466;-58.402152466411;GCS Web;Femenino;Abierto;;
00008712/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;07/01/2021;14:14:20;11.0;Villa Del Parque;LOZANO, PEDRO;2919.0;;-34.5992774661356;-58.4918396359121;GCS Web;Femenino;Abierto;;
00009397/21;202101;SALUD Y SERVICIOS SOCIALES;ENFERMEDADES TRANSMITIDAS POR MOSQUITOS;CRIADEROS DE MOSQUITOS;REPORTE;07/01/2021;21:13:56;10.0;Villa Real;CANTILO, JOSE LUIS;5665.0;;-34.6157585119262;-58.5301738205022;App BA 147;Femenino;Cerrado;25/01/2021 14:00:16;
